Equipo,Pts_esp,GF_esp,GC_esp,P_1,P_2,P_3,P_4,P_top2,pos_esp,Grupo,Pos
Mexico,6.1,5.47,2.49,0.579,0.258,0.113,0.05,0.837,1.63,A,1
South Korea,4.43,3.75,3.32,0.244,0.34,0.249,0.168,0.584,2.34,A,2
Czech Republic,3.15,2.96,4.44,0.099,0.22,0.32,0.36,0.319,2.94,A,3
South Africa,2.82,2.7,4.63,0.078,0.182,0.318,0.423,0.26,3.08,A,4
Switzerland,5.61,4.72,2.61,0.489,0.269,0.16,0.082,0.758,1.83,B,1
Canada,4.08,3.74,3.79,0.22,0.284,0.281,0.216,0.503,2.49,B,2
Bosnia,4.04,3.57,3.65,0.209,0.281,0.285,0.225,0.489,2.53,B,3
Qatar,2.73,2.63,4.61,0.083,0.166,0.274,0.477,0.249,3.15,B,4
Morocco,7.09,7.55,1.88,0.682,0.267,0.047,0.004,0.949,1.37,C,1
Brazil,5.68,5.33,2.65,0.279,0.536,0.161,0.024,0.815,1.93,C,2
Scotland,3.03,3.07,5.07,0.035,0.166,0.584,0.215,0.201,2.98,C,3
Haiti,1.14,1.85,8.2,0.004,0.032,0.208,0.757,0.036,3.72,C,4
USA,5.84,5.35,2.78,0.516,0.282,0.143,0.06,0.797,1.75,D,1
Turkey,4.87,4.32,3.25,0.306,0.346,0.224,0.124,0.652,2.17,D,2
Australia,3.32,3.22,4.44,0.117,0.221,0.348,0.315,0.338,2.86,D,3
Paraguay,2.52,2.64,5.07,0.062,0.152,0.286,0.501,0.213,3.23,D,4
Germany,7.29,8.28,2.02,0.761,0.179,0.056,0.003,0.941,1.3,E,1
Ecuador,4.55,4.45,3.72,0.132,0.432,0.367,0.069,0.564,2.37,E,2
Ivory Coast,4.17,4.23,4.16,0.104,0.359,0.444,0.093,0.463,2.53,E,3
Curacao,0.96,1.82,8.89,0.002,0.03,0.133,0.835,0.032,3.8,E,4
Netherlands,6.29,5.79,2.42,0.577,0.284,0.103,0.036,0.86,1.6,F,1
Japan,5.15,4.52,2.99,0.314,0.408,0.197,0.08,0.723,2.04,F,2
Sweden,3.12,3.03,4.65,0.082,0.202,0.404,0.313,0.283,2.95,F,3
Tunisia,2.07,2.27,5.55,0.027,0.106,0.295,0.571,0.134,3.41,F,4
Belgium,7.47,8.59,1.62,0.792,0.167,0.04,0.001,0.959,1.25,G,1
Iran,4.74,4.45,3.23,0.133,0.479,0.346,0.042,0.612,2.3,G,2
Egypt,4.04,3.89,3.99,0.074,0.338,0.511,0.078,0.411,2.59,G,3
New Zealand,0.75,1.58,9.65,0.001,0.017,0.104,0.878,0.018,3.86,G,4
Spain,8.17,10.73,1.34,0.912,0.085,0.003,0.0,0.997,1.09,H,1
Uruguay,4.9,4.3,3.24,0.082,0.698,0.174,0.046,0.78,2.18,H,2
Saudi Arabia,2.2,2.3,6.78,0.004,0.133,0.464,0.399,0.136,3.26,H,3
Cape Verde,1.76,2.06,8.03,0.002,0.085,0.359,0.555,0.087,3.47,H,4
France,7.87,9.33,1.63,0.865,0.115,0.019,0.001,0.98,1.16,I,1
Senegal,4.35,4.18,3.98,0.086,0.488,0.342,0.083,0.575,2.42,I,2
Norway,3.68,3.86,4.99,0.047,0.351,0.467,0.135,0.398,2.69,I,3
Iraq,1.15,1.87,8.64,0.002,0.046,0.172,0.781,0.048,3.73,I,4
Argentina,7.94,8.9,1.48,0.895,0.091,0.012,0.002,0.986,1.12,J,1
Austria,4.13,3.82,4.18,0.065,0.491,0.332,0.112,0.556,2.49,J,2
Algeria,3.41,3.18,4.67,0.037,0.34,0.43,0.192,0.377,2.78,J,3
Jordan,1.47,1.92,7.48,0.003,0.078,0.225,0.694,0.081,3.61,J,4
Portugal,7.6,8.93,1.76,0.758,0.226,0.016,0.001,0.983,1.26,K,1
Colombia,5.82,5.83,2.8,0.231,0.659,0.095,0.015,0.89,1.9,K,2
DR Congo,1.98,2.42,7.2,0.007,0.067,0.482,0.443,0.075,3.36,K,3
Uzbekistan,1.68,2.16,7.57,0.005,0.048,0.407,0.54,0.053,3.48,K,4
England,7.53,7.93,1.72,0.807,0.166,0.022,0.004,0.974,1.22,L,1
Croatia,4.98,4.34,3.1,0.166,0.588,0.182,0.064,0.754,2.15,L,2
Panama,2.23,2.39,5.97,0.015,0.127,0.403,0.454,0.143,3.3,L,3
Ghana,2.13,2.41,6.27,0.012,0.118,0.393,0.477,0.13,3.34,L,4
