Equipo,Pts_esp,GF_esp,GC_esp,P_1,P_2,P_3,P_4,P_top2,pos_esp,Grupo,Pos
Ivory Coast,4.17,4.23,4.16,0.104,0.359,0.444,0.093,0.463,2.53,E,3
Bosnia,4.04,3.57,3.65,0.209,0.281,0.285,0.225,0.489,2.53,B,3
Egypt,4.04,3.89,3.99,0.074,0.338,0.511,0.078,0.411,2.59,G,3
Norway,3.68,3.86,4.99,0.047,0.351,0.467,0.135,0.398,2.69,I,3
Algeria,3.41,3.18,4.67,0.037,0.34,0.43,0.192,0.377,2.78,J,3
Australia,3.32,3.22,4.44,0.117,0.221,0.348,0.315,0.338,2.86,D,3
Czech Republic,3.15,2.96,4.44,0.099,0.22,0.32,0.36,0.319,2.94,A,3
Sweden,3.12,3.03,4.65,0.082,0.202,0.404,0.313,0.283,2.95,F,3
Scotland,3.03,3.07,5.07,0.035,0.166,0.584,0.215,0.201,2.98,C,3
Panama,2.23,2.39,5.97,0.015,0.127,0.403,0.454,0.143,3.3,L,3
Saudi Arabia,2.2,2.3,6.78,0.004,0.133,0.464,0.399,0.136,3.26,H,3
DR Congo,1.98,2.42,7.2,0.007,0.067,0.482,0.443,0.075,3.36,K,3
