P,Fecha,Sede,H,Local,Visit,G,xG_L,xG_V,Marcador,P(1),P(X),P(2),Conf,Factores
1,11-Jun,Mexico City,13,Mexico,South Africa,A,1.956,0.79,1-0,0.648,0.209,0.143,MEDIO,Elo gap 153→Mexico
2,11-Jun,Guadalajara,20,South Korea,Czech Republic,A,1.701,1.029,1-1,0.531,0.24,0.229,BAJO,Equilibrado
3,12-Jun,Toronto,15,Canada,Bosnia,B,1.267,1.452,1-1,0.33,0.256,0.414,BAJO,Equilibrado
4,12-Jun,Los Angeles,18,USA,Paraguay,D,1.985,0.74,1-0,0.666,0.204,0.13,MEDIO,Elo gap 166→USA
5,13-Jun,Boston,21,Haiti,Scotland,C,0.933,1.678,0-1,0.209,0.242,0.549,BAJO,Equilibrado
6,13-Jun,Vancouver,21,Australia,Turkey,D,1.253,1.493,1-1,0.318,0.254,0.428,BAJO,Equilibrado
7,13-Jun,New York,18,Brazil,Morocco,C,1.058,1.663,1-1,0.241,0.244,0.515,BAJO,Equilibrado
8,13-Jun,San Francisco,12,Qatar,Switzerland,B,1.097,1.622,1-1,0.257,0.247,0.496,BAJO,Equilibrado
9,14-Jun,Philadelphia,19,Ivory Coast,Ecuador,E,1.159,1.555,1-1,0.284,0.252,0.465,BAJO,Equilibrado
10,14-Jun,Houston,12,Germany,Curacao,E,2.396,0.344,2-0,0.831,0.13,0.038,ALTO,Elo gap 313→Germany | Debut Curacao
11,14-Jun,Dallas,15,Netherlands,Japan,F,1.538,1.261,1-1,0.438,0.25,0.312,BAJO,Equilibrado
12,14-Jun,Monterrey,20,Sweden,Tunisia,F,1.506,1.206,1-1,0.442,0.254,0.304,BAJO,Equilibrado
13,15-Jun,Miami,18,Saudi Arabia,Uruguay,H,0.877,1.787,0-1,0.181,0.23,0.589,MEDIO,Equilibrado
14,15-Jun,Atlanta,12,Spain,Cape Verde,H,2.589,0.226,2-0,0.878,0.1,0.02,ALTO,Elo gap 400→Spain | Debut Cape Verde
15,15-Jun,Los Angeles,18,Iran,New Zealand,G,2.344,0.321,2-0,0.83,0.133,0.037,ALTO,Elo gap 344→Iran
16,15-Jun,Seattle,12,Belgium,Egypt,G,2.02,0.703,2-0,0.682,0.198,0.119,BAJO*,Elo gap 180→Belgium | Dep.★ Salah
17,16-Jun,New York,15,France,Senegal,I,2.153,0.708,2-0,0.706,0.184,0.109,BAJO*,Elo gap 183→France | Dep.★ Mané
18,16-Jun,Boston,18,Iraq,Norway,I,1.191,1.528,1-1,0.296,0.253,0.451,BAJO,Dep.★ Haaland
19,16-Jun,Kansas City,20,Argentina,Algeria,J,2.381,0.399,2-0,0.816,0.137,0.046,MEDIO*,Elo gap 305→Argentina | Dep.★ Messi
20,16-Jun,San Francisco,21,Austria,Jordan,J,1.8,0.849,1-0,0.599,0.228,0.173,MEDIO,Debut Jordan
21,17-Jun,Toronto,19,Ghana,Panama,L,1.057,1.617,1-1,0.248,0.248,0.504,BAJO,Equilibrado
22,17-Jun,Dallas,15,England,Croatia,L,1.821,0.91,1-0,0.588,0.227,0.185,MEDIO,Equilibrado
23,17-Jun,Houston,12,Portugal,DR Congo,K,2.389,0.418,2-0,0.813,0.138,0.048,ALTO,Elo gap 286→Portugal | Dep.★ Ronaldo
24,17-Jun,Mexico City,20,Uzbekistan,Colombia,K,0.514,2.158,0-2,0.075,0.17,0.755,ALTO,Elo gap 235→Colombia | Debut Uzbekistan | Dep.★ L.Díaz
25,18-Jun,Atlanta,12,Czech Republic,South Africa,A,1.248,1.46,1-1,0.323,0.256,0.421,BAJO,Equilibrado
26,18-Jun,Los Angeles,12,Switzerland,Bosnia,B,1.65,1.101,1-1,0.502,0.245,0.254,BAJO,Equilibrado
27,18-Jun,Vancouver,18,Canada,Qatar,B,1.238,1.44,1-1,0.324,0.258,0.418,BAJO,Equilibrado
28,18-Jun,Guadalajara,19,Mexico,South Korea,A,1.755,1.001,1-1,0.551,0.235,0.214,MEDIO,Equilibrado
29,19-Jun,Philadelphia,21,Brazil,Haiti,C,2.186,0.389,2-0,0.791,0.156,0.053,ALTO,Elo gap 302→Brazil
30,19-Jun,Boston,18,Scotland,Morocco,C,0.465,2.33,0-2,0.058,0.148,0.794,ALTO,Elo gap 269→Morocco
31,19-Jun,San Francisco,20,Turkey,Paraguay,D,1.778,0.957,1-0,0.567,0.232,0.201,MEDIO,Equilibrado
32,19-Jun,Seattle,12,USA,Australia,D,1.73,1.005,1-1,0.544,0.237,0.219,BAJO,Equilibrado
33,20-Jun,Toronto,16,Germany,Ivory Coast,E,2.053,0.729,2-0,0.682,0.196,0.122,MEDIO,Elo gap 178→Germany
34,20-Jun,Kansas City,19,Ecuador,Curacao,E,2.012,0.632,2-0,0.699,0.195,0.106,MEDIO,Elo gap 191→Ecuador | Debut Curacao
35,20-Jun,Houston,12,Netherlands,Sweden,F,2.08,0.693,2-0,0.697,0.191,0.112,MEDIO,Elo gap 189→Netherlands
36,20-Jun,Monterrey,22,Tunisia,Japan,F,0.683,2.098,0-2,0.109,0.188,0.702,MEDIO,Elo gap 185→Japan
37,21-Jun,Miami,18,Uruguay,Cape Verde,H,2.035,0.624,2-0,0.705,0.191,0.103,ALTO,Elo gap 200→Uruguay | Debut Cape Verde
38,21-Jun,Atlanta,12,Spain,Saudi Arabia,H,2.459,0.359,2-0,0.836,0.125,0.038,ALTO,Elo gap 321→Spain
39,21-Jun,Los Angeles,12,Belgium,Iran,G,1.833,0.881,1-0,0.598,0.225,0.177,MEDIO,Equilibrado
