Equipo,Pts_esp,GF_esp,GC_esp,Grupo,Pos
Mexico,6.23,5.67,2.48,A,1
South Korea,4.48,3.86,3.34,A,2
Czech Republic,3.07,2.91,4.54,A,3
South Africa,2.73,2.67,4.75,A,4
Switzerland,5.74,4.88,2.57,B,1
Bosnia,4.03,3.59,3.68,B,2
Canada,4.02,3.73,3.89,B,3
Qatar,2.67,2.6,4.66,B,4
Morocco,7.22,8.07,1.91,C,1
Brazil,5.84,5.73,2.67,C,2
Scotland,2.94,3.02,5.3,C,3
Haiti,1.03,1.75,8.68,C,4
USA,5.97,5.57,2.8,D,1
Turkey,4.94,4.47,3.28,D,2
Australia,3.21,3.2,4.6,D,3
Paraguay,2.46,2.61,5.16,D,4
Germany,7.44,8.9,2.02,E,1
Ecuador,4.58,4.56,3.83,E,2
Ivory Coast,4.13,4.24,4.3,E,3
Curacao,0.87,1.74,9.3,E,4
Netherlands,6.48,6.19,2.43,F,1
Japan,5.26,4.73,3.05,F,2
Sweden,2.99,3.01,4.86,F,3
Tunisia,1.98,2.22,5.8,F,4
Belgium,7.56,9.11,1.59,G,1
Iran,4.7,4.45,3.31,G,2
Egypt,4.05,3.91,4.02,G,3
New Zealand,0.71,1.47,10.02,G,4
Spain,8.29,11.99,1.34,H,1
Uruguay,5.0,4.53,3.41,H,2
Saudi Arabia,2.13,2.24,7.29,H,3
Cape Verde,1.69,2.0,8.73,H,4
France,8.07,10.37,1.62,I,1
Senegal,4.34,4.33,4.24,I,2
Norway,3.61,3.93,5.38,I,3
Iraq,1.09,1.85,9.23,I,4
Argentina,8.12,9.87,1.5,J,1
Austria,4.09,3.85,4.4,J,2
Algeria,3.39,3.21,4.92,J,3
Jordan,1.4,1.86,7.97,J,4
Portugal,7.7,9.61,1.79,K,1
Colombia,5.93,6.19,2.89,K,2
DR Congo,1.94,2.4,7.56,K,3
Uzbekistan,1.57,2.1,8.06,K,4
England,7.7,8.73,1.76,L,1
Croatia,5.06,4.58,3.24,L,2
Panama,2.16,2.42,6.39,L,3
Ghana,2.03,2.36,6.69,L,4
