Equipo,Pts_esp,GF_esp,GC_esp,P_1,P_2,P_3,P_4,P_top2,pos_esp,Grupo,Pos
Mexico,6.13,5.5,2.47,0.593,0.244,0.114,0.049,0.837,1.62,A,1
South Korea,4.46,3.79,3.33,0.235,0.347,0.26,0.158,0.582,2.34,A,2
Czech Republic,3.08,2.9,4.46,0.093,0.217,0.326,0.364,0.31,2.96,A,3
South Africa,2.82,2.71,4.65,0.08,0.192,0.3,0.429,0.271,3.08,A,4
Switzerland,5.61,4.71,2.59,0.497,0.266,0.16,0.078,0.762,1.82,B,1
Bosnia,4.04,3.57,3.64,0.21,0.283,0.277,0.23,0.493,2.53,B,2
Canada,4.04,3.72,3.81,0.214,0.277,0.284,0.226,0.491,2.52,B,3
Qatar,2.75,2.63,4.6,0.08,0.174,0.279,0.467,0.254,3.13,B,4
Morocco,7.11,7.53,1.87,0.682,0.267,0.047,0.004,0.949,1.37,C,1
Brazil,5.65,5.28,2.65,0.28,0.533,0.162,0.026,0.813,1.93,C,2
Scotland,3.05,3.08,5.03,0.036,0.169,0.583,0.212,0.205,2.97,C,3
Haiti,1.13,1.85,8.19,0.002,0.031,0.209,0.758,0.033,3.72,C,4
USA,5.8,5.29,2.77,0.512,0.284,0.14,0.064,0.796,1.76,D,1
Turkey,4.87,4.32,3.23,0.306,0.344,0.232,0.118,0.65,2.16,D,2
Australia,3.35,3.25,4.44,0.122,0.226,0.335,0.318,0.348,2.85,D,3
Paraguay,2.51,2.63,5.06,0.059,0.147,0.294,0.5,0.206,3.23,D,4
Germany,7.26,8.22,2.01,0.754,0.191,0.051,0.004,0.945,1.3,E,1
Ecuador,4.55,4.4,3.71,0.132,0.429,0.368,0.072,0.561,2.38,E,2
Ivory Coast,4.16,4.21,4.13,0.111,0.353,0.443,0.093,0.465,2.52,E,3
Curacao,0.98,1.85,8.82,0.003,0.027,0.138,0.832,0.029,3.8,E,4
Netherlands,6.26,5.77,2.42,0.576,0.284,0.107,0.033,0.86,1.6,F,1
Japan,5.16,4.52,2.95,0.312,0.404,0.202,0.082,0.716,2.05,F,2
Sweden,3.1,3.03,4.65,0.079,0.202,0.4,0.318,0.282,2.96,F,3
Tunisia,2.1,2.28,5.58,0.033,0.11,0.29,0.567,0.142,3.39,F,4
Belgium,7.47,8.56,1.6,0.794,0.162,0.042,0.002,0.956,1.25,G,1
Iran,4.72,4.37,3.21,0.13,0.488,0.337,0.045,0.617,2.3,G,2
Egypt,4.0,3.85,4.0,0.075,0.333,0.512,0.08,0.408,2.6,G,3
New Zealand,0.8,1.6,9.57,0.001,0.018,0.108,0.873,0.019,3.85,G,4
Spain,8.14,10.75,1.35,0.904,0.091,0.004,0.0,0.995,1.1,H,1
Uruguay,4.95,4.35,3.23,0.089,0.699,0.164,0.048,0.788,2.17,H,2
Saudi Arabia,2.21,2.28,6.77,0.005,0.128,0.472,0.395,0.133,3.26,H,3
Cape Verde,1.74,2.05,8.08,0.002,0.082,0.36,0.557,0.083,3.47,H,4
France,7.87,9.3,1.62,0.872,0.109,0.018,0.002,0.98,1.15,I,1
Senegal,4.33,4.17,3.98,0.082,0.495,0.341,0.083,0.576,2.43,I,2
Norway,3.68,3.86,5.01,0.046,0.349,0.467,0.138,0.395,2.7,I,3
Iraq,1.15,1.88,8.61,0.001,0.047,0.175,0.777,0.048,3.73,I,4
Argentina,7.93,8.93,1.53,0.894,0.09,0.015,0.002,0.983,1.12,J,1
Austria,4.13,3.82,4.17,0.067,0.495,0.325,0.113,0.562,2.48,J,2
Algeria,3.41,3.21,4.7,0.036,0.338,0.434,0.192,0.374,2.78,J,3
Jordan,1.48,1.93,7.48,0.004,0.077,0.226,0.693,0.081,3.61,J,4
Portugal,7.58,8.95,1.78,0.752,0.231,0.016,0.001,0.983,1.27,K,1
Colombia,5.83,5.84,2.84,0.239,0.651,0.093,0.017,0.89,1.89,K,2
DR Congo,2.02,2.47,7.17,0.006,0.069,0.489,0.435,0.076,3.35,K,3
Uzbekistan,1.64,2.13,7.59,0.003,0.049,0.402,0.546,0.052,3.49,K,4
England,7.53,7.91,1.73,0.806,0.166,0.024,0.003,0.972,1.22,L,1
Croatia,4.96,4.31,3.07,0.162,0.582,0.189,0.067,0.744,2.16,L,2
Panama,2.24,2.38,5.96,0.016,0.131,0.403,0.45,0.147,3.29,L,3
Ghana,2.14,2.41,6.25,0.016,0.12,0.384,0.48,0.136,3.33,L,4
