Equipo,Pts_esp,GF_esp,GC_esp,P_1,P_2,P_3,P_4,P_top2,pos_esp,Grupo,Pos
Ivory Coast,4.16,4.21,4.13,0.111,0.353,0.443,0.093,0.465,2.52,E,3
Canada,4.04,3.72,3.81,0.214,0.277,0.284,0.226,0.491,2.52,B,3
Egypt,4.0,3.85,4.0,0.075,0.333,0.512,0.08,0.408,2.6,G,3
Norway,3.68,3.86,5.01,0.046,0.349,0.467,0.138,0.395,2.7,I,3
Algeria,3.41,3.21,4.7,0.036,0.338,0.434,0.192,0.374,2.78,J,3
Australia,3.35,3.25,4.44,0.122,0.226,0.335,0.318,0.348,2.85,D,3
Sweden,3.1,3.03,4.65,0.079,0.202,0.4,0.318,0.282,2.96,F,3
Czech Republic,3.08,2.9,4.46,0.093,0.217,0.326,0.364,0.31,2.96,A,3
Scotland,3.05,3.08,5.03,0.036,0.169,0.583,0.212,0.205,2.97,C,3
Panama,2.24,2.38,5.96,0.016,0.131,0.403,0.45,0.147,3.29,L,3
Saudi Arabia,2.21,2.28,6.77,0.005,0.128,0.472,0.395,0.133,3.26,H,3
DR Congo,2.02,2.47,7.17,0.006,0.069,0.489,0.435,0.076,3.35,K,3
